,,,Spring Components,,,Dcover No Jcover fuzz,time(Seconds):,337,Dcover Jcover-fuzz,time(Seconds):,479,Jcover test verification on,time(Seconds):,552
GROUP,PACKAGE,CLASS,@Service,@Controller,Info,LINE_MISSED,LINE_COVERED,Coverage,LINE_MISSED,LINE_COVERED,Coverage,LINE_MISSED,LINE_COVERED,Coverage
easyexcel,com.alibaba.excel.util,IoUtils,,,,4,19,0.8260869565217391,4,19,0.8260869565217391,3,20,0.8695652173913043
easyexcel,com.alibaba.excel.util,CollectionUtils,,,,0,2,1.0,0,2,1.0,0,2,1.0
easyexcel,com.alibaba.excel.util,NumberUtils,,,,27,12,0.3076923076923077,27,12,0.3076923076923077,18,21,0.5384615384615384
easyexcel,com.alibaba.excel.util,StyleUtil,,,,35,62,0.6391752577319587,35,62,0.6391752577319587,30,67,0.6907216494845361
easyexcel,com.alibaba.excel.util,DateUtils,,,,9,9,0.5,9,9,0.5,14,4,0.2222222222222222
easyexcel,com.alibaba.excel.util,WorkBookUtil,,,,26,10,0.2777777777777778,26,10,0.2777777777777778,21,15,0.4166666666666667
easyexcel,com.alibaba.excel.util,WriteHandlerUtils,,,,85,29,0.2543859649122807,85,29,0.2543859649122807,59,55,0.4824561403508772
easyexcel,com.alibaba.excel.util,StringUtils,,,,0,1,1.0,0,1,1.0,0,1,1.0
easyexcel,com.alibaba.excel.util,BooleanUtils,,,,1,2,0.6666666666666666,0,3,1.0,0,3,1.0
easyexcel,com.alibaba.excel.util,ConverterUtils,,,,43,0,0.0,43,0,0.0,36,7,0.16279069767441862
easyexcel,com.alibaba.excel.util,FileUtils,,,,53,9,0.14516129032258066,53,9,0.14516129032258066,51,11,0.1774193548387097
easyexcel,com.alibaba.excel.util,PositionUtils,,,,4,11,0.7333333333333333,4,11,0.7333333333333333,0,15,1.0
easyexcel,com.alibaba.excel.util,SheetUtils,,,,22,3,0.12,22,3,0.12,5,20,0.8
easyexcel,com.alibaba.excel.parameter,AnalysisParam,,,,0,14,1.0,0,14,1.0,0,14,1.0
easyexcel,com.alibaba.excel.parameter,GenerateParam,,,,0,21,1.0,0,21,1.0,0,21,1.0
easyexcel,com.alibaba.excel.converters.file,FileImageConverter,,,,1,4,0.8,1,4,0.8,2,3,0.6
easyexcel,com.alibaba.excel.write,ExcelBuilderImpl,,,,52,14,0.21212121212121213,52,14,0.21212121212121213,35,31,0.4696969696969697
easyexcel,com.alibaba.excel.cache,MapCache,,,,6,5,0.45454545454545453,5,6,0.5454545454545454,0,11,1.0
easyexcel,com.alibaba.excel.cache,Ehcache,,,,50,0,0.0,50,0,0.0,21,29,0.58
easyexcel,com.alibaba.excel.read.listener.event,EachRowAnalysisFinishEvent,,,,0,4,1.0,0,4,1.0,0,4,1.0
easyexcel,com.alibaba.excel.write.builder,ExcelWriterBuilder,,,,21,41,0.6612903225806451,21,41,0.6612903225806451,12,50,0.8064516129032258
easyexcel,com.alibaba.excel.write.builder,ExcelWriterTableBuilder,,,,31,11,0.2619047619047619,31,11,0.2619047619047619,4,38,0.9047619047619048
easyexcel,com.alibaba.excel.write.builder,ExcelWriterSheetBuilder,,,,26,29,0.5272727272727272,26,29,0.5272727272727272,14,41,0.7454545454545455
easyexcel,com.alibaba.excel.exception,ExcelCommonException,,,,5,2,0.2857142857142857,5,2,0.2857142857142857,7,0,0.0
easyexcel,com.alibaba.excel.exception,ExcelAnalysisStopException,,,,7,0,0.0,7,0,0.0,7,0,0.0
easyexcel,com.alibaba.excel.exception,ExcelGenerateException,,,,2,4,0.6666666666666666,2,4,0.6666666666666666,4,2,0.3333333333333333
easyexcel,com.alibaba.excel.exception,ExcelAnalysisException,,,,5,2,0.2857142857142857,5,2,0.2857142857142857,7,0,0.0
easyexcel,com.alibaba.excel.exception,ExcelDataConvertException,,,,0,25,1.0,0,25,1.0,11,14,0.56
easyexcel,com.alibaba.excel.analysis.v07.handlers,CountRowCellHandler,,,,10,0,0.0,10,0,0.0,6,4,0.4
easyexcel,com.alibaba.excel.analysis.v07.handlers,DefaultCellHandler,,,,75,0,0.0,75,0,0.0,64,11,0.14666666666666667
easyexcel,com.alibaba.excel.analysis.v07.handlers,ProcessResultCellHandler,,,,13,0,0.0,13,0,0.0,8,5,0.38461538461538464
easyexcel,com.alibaba.excel.write.style.row,SimpleRowHeightStyleStrategy,,,,10,0,0.0,10,0,0.0,0,10,1.0
easyexcel,com.alibaba.excel.write.style.row,AbstractRowHeightStyleStrategy,,,,10,0,0.0,10,0,0.0,8,2,0.2
easyexcel,com.alibaba.excel.converters.bytearray,BoxingByteArrayImageConverter,,,,0,8,1.0,0,8,1.0,1,7,0.875
easyexcel,com.alibaba.excel.converters.bytearray,ByteArrayImageConverter,,,,0,5,1.0,0,5,1.0,1,4,0.8
easyexcel,com.alibaba.excel,ExcelReader,,,,65,18,0.21686746987951808,65,18,0.21686746987951808,83,0,0.0
easyexcel,com.alibaba.excel,EasyExcel,,,,1,0,0.0,1,0,0.0,1,0,0.0
easyexcel,com.alibaba.excel,ExcelWriter,,,,46,10,0.17857142857142858,46,10,0.17857142857142858,10,46,0.8214285714285714
easyexcel,com.alibaba.excel,EasyExcelFactory,,,,82,3,0.03529411764705882,82,3,0.03529411764705882,85,0,0.0
easyexcel,com.alibaba.excel,EasyExcelFactory.new AnalysisEventListener() {...},n/a,n/a,Could not find file,3,1,0.25,3,1,0.25,4,0,0.0
easyexcel,com.alibaba.excel.support,ExcelTypeEnum,,,,17,17,0.5,17,17,0.5,26,8,0.23529411764705882
easyexcel,com.alibaba.excel.converters.inputstream,InputStreamImageConverter,,,,0,5,1.0,0,5,1.0,1,4,0.8
easyexcel,com.alibaba.excel.write.metadata.fill,FillConfig,,,,1,15,0.9375,1,15,0.9375,2,14,0.875
easyexcel,com.alibaba.excel.write.metadata.fill,AnalysisCell,,,,5,25,0.8333333333333334,5,25,0.8333333333333334,8,22,0.7333333333333333
easyexcel,com.alibaba.excel.write.metadata.fill,FillConfig.FillConfigBuilder,n/a,n/a,Could not find file,4,7,0.6363636363636364,4,7,0.6363636363636364,11,0,0.0
easyexcel,com.alibaba.excel.read.metadata.property,ExcelReadHeadProperty,,,,0,2,1.0,0,2,1.0,0,2,1.0
easyexcel,com.alibaba.excel.cache.selector,EternalReadCacheSelector,,,,4,0,0.0,4,0,0.0,0,4,1.0
easyexcel,com.alibaba.excel.cache.selector,SimpleReadCacheSelector,,,,25,0,0.0,25,0,0.0,25,0,0.0
easyexcel,com.alibaba.excel.analysis.v07,XlsxRowHandler,,,,21,0,0.0,21,0,0.0,2,19,0.9047619047619048
easyexcel,com.alibaba.excel.analysis.v07,SharedStringsTableHandler,,,,32,0,0.0,32,0,0.0,8,24,0.75
easyexcel,com.alibaba.excel.analysis.v07,XlsxSaxAnalyser,,,,87,0,0.0,87,0,0.0,87,0,0.0
easyexcel,com.alibaba.excel.analysis.v07,XlsxHandlerFactory,,,,7,0,0.0,7,0,0.0,1,6,0.8571428571428571
easyexcel,com.alibaba.excel.converters.date,DateNumberConverter,,,,10,3,0.23076923076923078,10,3,0.23076923076923078,10,3,0.23076923076923078
easyexcel,com.alibaba.excel.converters.date,DateStringConverter,,,,5,5,0.5,5,5,0.5,5,5,0.5
easyexcel,com.alibaba.excel.event,SyncReadListener,,,,3,5,0.625,3,5,0.625,0,8,1.0
easyexcel,com.alibaba.excel.event,AbstractIgnoreExceptionReadListener,,,,2,1,0.3333333333333333,2,1,0.3333333333333333,2,1,0.3333333333333333
easyexcel,com.alibaba.excel.event,AnalysisEventListener,,,,5,1,0.16666666666666666,5,1,0.16666666666666666,4,2,0.3333333333333333
